id,release_date,movie,production_budget,domestic_gross,worldwide_gross
66,1995-06-16,Batman Forever,,,
67,2001-07-27,Planet of the Apes,,,
68,2004-11-19,National Treasure,,,
69,2012-12-25,Django Unchained,,,
70,2010-12-22,Little Fockers,,,
71,1994-07-15,True Lies,,,
72,2007-11-02,American Gangster,,,
73,2009-09-18,Cloudy with a Chance of Meatballs,,,
74,2010-08-06,The Other Guys,,,
75,2004-12-17,Lemony Snicket's A Series of Unfortunate Events,,,
76,2013-12-25,The Wolf of Wall Street,,,
77,2013-05-24,Epic,,,
78,1996-06-21,Eraser,,,
79,1996-06-21,The Hunchback of Notre Dame,,,
80,2000-12-15,The Emperor's New Groove,,,
81,2012-08-17,The Expendables 2,,,
82,2009-10-16,Where the Wild Things Are,,,
83,2006-12-15,Eragon,,,
84,2014-07-25,Hercules,,,
85,2010-12-10,The Tourist,,,
86,1999-11-24,End of Days,,,
87,2004-06-11,The Stepford Wives,,,
88,2007-06-08,Surf's Up,,,
89,2006-12-08,Blood Diamond,,,
90,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,,,
91,1997-11-07,Starship Troopers,,,
92,2009-06-05,Land of the Lost,,,
93,2003-12-25,Peter Pan,,,
94,2019-03-15,Wonder Park,,,
95,2004-07-23,Catwoman,,,
96,2014-08-15,The Expendables 3,,,
97,2002-11-27,Treasure Planet,,,
98,2010-03-12,Green Zone,,,
99,2017-10-20,Geostorm,,,
100,2015-12-25,Point Break,,,
1,2015-12-11,In the Heart of the Sea,,,
2,2014-04-18,Transcendence,,,
3,2005-02-18,Son of the Mask,,,
4,2018-12-14,Mortal Engines,,,
5,2002-08-16,The Adventures of Pluto Nash,,,
6,2012-01-20,Jin lÃ­ng shÃ­ san chai,,,
7,2015-11-06,The Peanuts Movie,,,
8,2019-02-08,The LEGO Movie 2: The Second Part,,,
9,2018-11-21,Robin Hood,,,
10,2001-05-04,The Mummy Returns,,,
11,2002-12-20,Gangs of New York,,,
12,2017-05-19,Alien: Covenant,,,
13,2015-03-13,Cinderella,,,
14,2012-07-13,Ice Age: Continental Drift,,,
15,2001-12-28,Black Hawk Down,,,
16,2010-05-27,Sex and the City 2,,,
17,2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,,,
18,2012-08-10,The Campaign,,,
19,2010-11-12,Unstoppable,,,
20,1997-05-09,The Fifth Element,,,
21,2000-03-31,The Road to El Dorado,,,
22,2009-12-11,The Lovely Bones,,,
23,2016-08-19,Ben-Hur,,,
24,2015-02-06,Seventh Son,,,
25,2003-05-30,Finding Nemo,,,
26,2003-12-17,The Lord of the Rings: The Return of the King,,,
27,2002-12-18,The Lord of the Rings: The Two Towers,,,
28,2001-06-15,Lara Croft: Tomb Raider,,,
29,2015-02-13,Kingsman: The Secret Service,,,
30,2001-07-18,Jurassic Park III,,,
31,2011-08-05,Rise of the Planet of the Apes,,,
32,2008-02-14,The Spiderwick Chronicles,,,
33,2004-11-05,The Incredibles,,,
34,2013-02-14,A Good Day to Die Hard,,,
35,2004-04-09,The Alamo,,,
36,1995-12-22,Cutthroat Island,,,
37,2013-12-25,The Secret Life of Walter Mitty,,,
38,2017-12-20,Jumanji: Welcome to the Jungle,,,
39,1997-07-01,Men in Black,,,
40,1999-11-19,Toy Story 2,,,
41,2001-08-03,Rush Hour 2,,,
42,2009-12-25,Sherlock Holmes,,,
43,2009-07-01,Ice Age: Dawn of the Dinosaurs,,,
44,2018-12-14,Spider-Man: Into The Spider-Verse 3D,,,
45,2000-07-21,What Lies Beneath,,,
46,2011-04-15,Rio,,,
47,2006-10-06,The Departed,,,
48,2000-11-03,Charlie's Angels,,,
49,1998-06-19,Mulan,,,
50,2008-08-13,Tropic Thunder,,,
51,2011-12-20,The Girl with the Dragon Tattoo,,,
52,1997-07-11,Contact,,,
53,2008-06-06,You Don't Mess With the Zohan,,,
54,1995-05-19,Die Hard: With a Vengeance,,,
55,2016-09-23,The Magnificent Seven,,,
56,2015-12-18,Alvin and the Chipmunks: The Road Chip,,,
57,2001-06-08,Atlantis: The Lost Empire,,,
58,2008-12-25,Valkyrie,,,
59,2015-07-24,Pixels,,,
60,2001-06-29,Artificial Intelligence: AI,,,
61,2003-11-26,The Haunted Mansion,,,
62,2000-08-04,Hollow Man,,,
63,2005-04-22,The Interpreter,,,
64,2013-08-07,Percy Jackson: Sea of Monsters,,,
65,2003-07-25,Lara Croft: Tomb Raider: The Cradle of Life,,,
66,2016-06-10,Now You See Me 2,,,
67,2001-11-21,Spy Game,,,
68,1997-04-04,The Saint,,,
69,2000-03-10,Mission to Mars,,,
70,2018-03-16,Tomb Raider,,,
71,1999-12-17,Bicentennial Man,,,
72,2004-07-07,King Arthur,,,
73,1997-04-25,Volcano,,,
74,1997-03-26,The Devil's Own,,,
75,2002-07-19,K-19: The Widowmaker,,,
76,2011-08-19,Conan the Barbarian,,,
77,2011-10-21,The Three Musketeers,,,
